locus_tag	ftype	length_bp	gene	EC_number	COG	product
MNHNOIJP_03980	CDS	492				hypothetical protein
MNHNOIJP_03981	CDS	1248	mntH		COG1914	Divalent metal cation transporter MntH
MNHNOIJP_03982	CDS	390	sauT	6.2.1.-	COG0318	putative sulfoacetate--CoA ligase
MNHNOIJP_03983	CDS	1668	acoR		COG3284	Acetoin dehydrogenase operon transcriptional activator AcoR
MNHNOIJP_03984	CDS	756				hypothetical protein
MNHNOIJP_03985	CDS	300				hypothetical protein
MNHNOIJP_03986	CDS	777				hypothetical protein
MNHNOIJP_03987	CDS	480				hypothetical protein
MNHNOIJP_03988	CDS	378				hypothetical protein
MNHNOIJP_03989	CDS	1560		6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase FadD13
MNHNOIJP_03990	CDS	546				hypothetical protein
MNHNOIJP_03991	CDS	870	kimA_1		COG0531	Potassium transporter KimA
MNHNOIJP_03992	CDS	1074				hypothetical protein
MNHNOIJP_03993	CDS	846		3.1.1.23	COG2267	Monoacylglycerol lipase
MNHNOIJP_03994	CDS	267				hypothetical protein
MNHNOIJP_03995	CDS	192	mtnN_5	3.2.2.9		5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
MNHNOIJP_03996	CDS	642	betI_18			HTH-type transcriptional regulator BetI
MNHNOIJP_03997	CDS	279				hypothetical protein
MNHNOIJP_03998	CDS	1035	asd	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
MNHNOIJP_03999	CDS	792	ask	2.7.2.4	COG0527	Aspartokinase
MNHNOIJP_04000	CDS	381				hypothetical protein
MNHNOIJP_04001	CDS	345				hypothetical protein
MNHNOIJP_04002	CDS	354				hypothetical protein
MNHNOIJP_04003	CDS	576				hypothetical protein
MNHNOIJP_04004	CDS	1914	glgX_1	3.2.1.-	COG1523	Glycogen operon protein GlgX 
MNHNOIJP_04005	CDS	1143	serC	2.6.1.52	COG1932	Phosphoserine aminotransferase
MNHNOIJP_04006	CDS	1128	citA	2.3.3.16	COG0372	Putative citrate synthase 2
MNHNOIJP_04007	CDS	1188	mdtL_2			Multidrug resistance protein MdtL
MNHNOIJP_04008	CDS	1047				hypothetical protein
MNHNOIJP_04009	CDS	396				hypothetical protein
MNHNOIJP_04010	CDS	288				hypothetical protein
MNHNOIJP_04011	CDS	750				hypothetical protein
MNHNOIJP_04012	CDS	996	fbpA_2	2.3.1.122	COG0627	Diacylglycerol acyltransferase/mycolyltransferase Ag85A
MNHNOIJP_04013	CDS	429	tadA_2	3.5.4.33		tRNA-specific adenosine deaminase
MNHNOIJP_04014	CDS	303				hypothetical protein
MNHNOIJP_04015	CDS	498				hypothetical protein
MNHNOIJP_04016	CDS	1023				hypothetical protein
MNHNOIJP_04017	CDS	1266				hypothetical protein
MNHNOIJP_04018	CDS	288				hypothetical protein
MNHNOIJP_04019	CDS	1092				hypothetical protein
MNHNOIJP_04020	CDS	900				hypothetical protein
MNHNOIJP_04021	CDS	837				hypothetical protein
MNHNOIJP_04022	CDS	141	etfA		COG2025	Electron transfer flavoprotein subunit alpha
MNHNOIJP_04023	CDS	630				hypothetical protein
MNHNOIJP_04024	CDS	393	hslR		COG1188	Heat shock protein 15
MNHNOIJP_04025	CDS	894				hypothetical protein
MNHNOIJP_04026	CDS	849	fadB2_1	1.1.1.157	COG1250	3-hydroxybutyryl-CoA dehydrogenase
MNHNOIJP_04027	CDS	1305	lcfB_9	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
MNHNOIJP_04028	CDS	453				hypothetical protein
MNHNOIJP_04029	CDS	804	fabG_10	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
MNHNOIJP_04030	CDS	846				hypothetical protein
MNHNOIJP_04031	CDS	1110	stiP	3.4.22.-		Cysteine protease StiP
MNHNOIJP_04032	CDS	858				hypothetical protein
MNHNOIJP_04033	CDS	189				hypothetical protein
MNHNOIJP_04034	CDS	2124	plcN	3.1.4.3	COG3511	Non-hemolytic phospholipase C
MNHNOIJP_04035	CDS	606				hypothetical protein
MNHNOIJP_04036	CDS	792	dhbA	1.3.1.28	COG1028	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
MNHNOIJP_04037	CDS	231	dhbB_1	3.3.2.1	COG1535	Isochorismatase
MNHNOIJP_04038	CDS	1158	menF_2	5.4.4.2	COG1169	Putative isochorismate synthase MenF
MNHNOIJP_04039	CDS	399				hypothetical protein
MNHNOIJP_04040	CDS	510				hypothetical protein
MNHNOIJP_04041	CDS	882	tesB_1	3.1.2.-	COG1946	Acyl-CoA thioesterase 2
MNHNOIJP_04042	CDS	1695	lcfB_10	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
MNHNOIJP_04043	CDS	519				hypothetical protein
MNHNOIJP_04044	CDS	1197				hypothetical protein
MNHNOIJP_04045	CDS	957	urdA_1	1.3.99.33		Urocanate reductase
MNHNOIJP_04046	CDS	237				hypothetical protein
MNHNOIJP_04047	CDS	456				hypothetical protein
MNHNOIJP_04048	CDS	429				hypothetical protein
MNHNOIJP_04049	CDS	1113				hypothetical protein
MNHNOIJP_04050	CDS	255				hypothetical protein
MNHNOIJP_04051	CDS	1134				hypothetical protein
MNHNOIJP_04052	CDS	198				hypothetical protein
MNHNOIJP_04053	CDS	954				hypothetical protein
MNHNOIJP_04054	CDS	303				hypothetical protein
MNHNOIJP_04055	CDS	885	arnC_4	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
MNHNOIJP_04056	CDS	1275	dctA_1		COG1301	C4-dicarboxylate transport protein
MNHNOIJP_04057	tRNA	76				tRNA-Ala(cgc)
MNHNOIJP_04058	CDS	903				hypothetical protein
MNHNOIJP_04059	CDS	501				hypothetical protein
MNHNOIJP_04060	CDS	1002				hypothetical protein
MNHNOIJP_04061	CDS	213				hypothetical protein
MNHNOIJP_04062	CDS	309				hypothetical protein
MNHNOIJP_04063	CDS	543				HTH-type transcriptional repressor
MNHNOIJP_04064	CDS	474				hypothetical protein
MNHNOIJP_04065	CDS	1089	xylB_1	1.1.1.90		Aryl-alcohol dehydrogenase
MNHNOIJP_04066	CDS	195				hypothetical protein
MNHNOIJP_04067	CDS	561				hypothetical protein
MNHNOIJP_04068	CDS	1635	nfdA_3	3.5.1.91		N-substituted formamide deformylase
MNHNOIJP_04069	CDS	1002	cmoM	2.1.1.-		tRNA 5-carboxymethoxyuridine methyltransferase
MNHNOIJP_04070	CDS	846			COG2141	putative protein
MNHNOIJP_04071	CDS	1437	kimA_2		COG0531	Potassium transporter KimA
MNHNOIJP_04072	CDS	1269		2.1.1.-	COG2265	putative RNA methyltransferase
MNHNOIJP_04073	CDS	747	gpmA_2	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
MNHNOIJP_04074	CDS	1236	senX3	2.7.13.3		Signal-transduction histidine kinase senX3
MNHNOIJP_04075	CDS	690	regX3_1		COG0745	Sensory transduction protein regX3
MNHNOIJP_04076	CDS	1749	aceF	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
MNHNOIJP_04077	CDS	1443	pucI		COG1953	putative allantoin permease
MNHNOIJP_04078	CDS	729	hyuE	5.1.99.5		Hydantoin racemase
MNHNOIJP_04079	CDS	957	ydhP_3		COG2814	Inner membrane transport protein YdhP
MNHNOIJP_04080	CDS	945				hypothetical protein
MNHNOIJP_04081	CDS	624	mlpJ_1			Lipoprotein MlpJ
MNHNOIJP_04082	CDS	510				hypothetical protein
MNHNOIJP_04083	CDS	540				hypothetical protein
MNHNOIJP_04084	CDS	378				hypothetical protein
MNHNOIJP_04085	CDS	180				hypothetical protein
MNHNOIJP_04086	CDS	975				hypothetical protein
MNHNOIJP_04087	CDS	159				hypothetical protein
MNHNOIJP_04088	CDS	1914	yjcS_2	3.1.6.-	COG2015	Putative alkyl/aryl-sulfatase YjcS
MNHNOIJP_04089	CDS	621	yciO		COG0009	putative protein YciO
MNHNOIJP_04090	CDS	204				hypothetical protein
MNHNOIJP_04091	CDS	1344				hypothetical protein
MNHNOIJP_04092	CDS	471				hypothetical protein
MNHNOIJP_04093	CDS	903	kdhA	1.5.99.14		6-hydroxypseudooxynicotine dehydrogenase complex subunit alpha
MNHNOIJP_04094	CDS	1209				hypothetical protein
MNHNOIJP_04095	CDS	1047	adh	1.1.1.1		Alcohol dehydrogenase
MNHNOIJP_04096	CDS	198	gatB_2	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
MNHNOIJP_04097	CDS	969				hypothetical protein
MNHNOIJP_04098	CDS	663				hypothetical protein
MNHNOIJP_04099	CDS	987	sfnG_2	1.14.14.35		FMNH(2)-dependent dimethylsulfone monooxygenase
MNHNOIJP_04100	CDS	372				hypothetical protein
MNHNOIJP_04101	CDS	612				hypothetical protein
MNHNOIJP_04102	CDS	672				hypothetical protein
MNHNOIJP_04103	CDS	2883	embC_1	2.4.2.-		putative arabinosyltransferase C
MNHNOIJP_04104	CDS	576	dprA		COG0758	Putative DNA processing protein DprA
MNHNOIJP_04105	CDS	360	lsr2_3			Nucleoid-associated protein Lsr2
MNHNOIJP_04106	CDS	771			COG2375	putative protein
MNHNOIJP_04107	CDS	519	bcr_2			Bicyclomycin resistance protein
MNHNOIJP_04108	CDS	1149	mce3R_3			Transcriptional repressor Mce3R
MNHNOIJP_04109	CDS	1128		1.3.99.-		Acyl-CoA dehydrogenase FadE26
MNHNOIJP_04110	CDS	1035	dapE_2	3.5.1.18	COG0624	Putative succinyl-diaminopimelate desuccinylase DapE
MNHNOIJP_04111	CDS	804				hypothetical protein
MNHNOIJP_04112	CDS	558	log	3.2.2.-	COG1611	Cytokinin riboside 5'-monophosphate phosphoribohydrolase
MNHNOIJP_04113	CDS	606				hypothetical protein
MNHNOIJP_04114	CDS	213				hypothetical protein
MNHNOIJP_04115	CDS	1095				hypothetical protein
MNHNOIJP_04116	CDS	1140	yfeW_2	3.4.16.4		Putative D-alanyl-D-alanine carboxypeptidase
MNHNOIJP_04117	CDS	117				hypothetical protein
MNHNOIJP_04118	CDS	1182	der_2			GTPase Der
MNHNOIJP_04119	CDS	339				hypothetical protein
MNHNOIJP_04120	CDS	753				hypothetical protein
MNHNOIJP_04121	CDS	243				hypothetical protein
MNHNOIJP_04122	CDS	288	nuoI	7.1.1.-	COG1143	NADH-quinone oxidoreductase subunit I
MNHNOIJP_04123	CDS	798				hypothetical protein
MNHNOIJP_04124	CDS	300		7.1.1.-	COG0713	NADH-quinone oxidoreductase subunit 11
MNHNOIJP_04125	CDS	1365				hypothetical protein
MNHNOIJP_04126	CDS	195				hypothetical protein
MNHNOIJP_04127	CDS	1212				hypothetical protein
MNHNOIJP_04128	CDS	1053				hypothetical protein
MNHNOIJP_04129	CDS	141				hypothetical protein
MNHNOIJP_04130	CDS	1710	ureC_2	3.5.1.5	COG0804	Urease subunit alpha
MNHNOIJP_04131	CDS	690	ureF_2			Urease accessory protein UreF
MNHNOIJP_04132	CDS	1470	dap_2	3.4.11.19		D-aminopeptidase
MNHNOIJP_04133	CDS	993	cpg2	3.4.17.11		Carboxypeptidase G2
MNHNOIJP_04134	CDS	687		1.3.99.-		Acyl-CoA dehydrogenase FadE26
MNHNOIJP_04135	CDS	447				hypothetical protein
MNHNOIJP_04136	CDS	1461				hypothetical protein
MNHNOIJP_04137	CDS	399				hypothetical protein
MNHNOIJP_04138	CDS	384				hypothetical protein
MNHNOIJP_04139	CDS	1206				hypothetical protein
MNHNOIJP_04140	CDS	831	ypdB		COG3279	Transcriptional regulatory protein YpdB
MNHNOIJP_04141	CDS	672				hypothetical protein
MNHNOIJP_04142	CDS	1416				hypothetical protein
MNHNOIJP_04143	CDS	399				hypothetical protein
MNHNOIJP_04144	CDS	1395		1.14.14.154	COG2124	Lanosterol 14-alpha demethylase
MNHNOIJP_04145	CDS	192	subB_2			Ferredoxin-2
MNHNOIJP_04146	CDS	552				hypothetical protein
MNHNOIJP_04147	CDS	936	metZ_1	2.5.1.-	COG0626	O-succinylhomoserine sulfhydrylase
MNHNOIJP_04148	CDS	597				hypothetical protein
MNHNOIJP_04149	CDS	1443				hypothetical protein
MNHNOIJP_04150	CDS	201				hypothetical protein
MNHNOIJP_04151	CDS	1236				hypothetical protein
MNHNOIJP_04152	CDS	678	nreC_1		COG2197	Oxygen regulatory protein NreC
MNHNOIJP_04153	CDS	606	pdxT	4.3.3.6	COG0311	Pyridoxal 5'-phosphate synthase subunit PdxT
MNHNOIJP_04154	CDS	252				hypothetical protein
MNHNOIJP_04155	CDS	288				hypothetical protein
MNHNOIJP_04156	CDS	441				hypothetical protein
MNHNOIJP_04157	CDS	1314	ribZ			Riboflavin transporter RibZ
MNHNOIJP_04158	CDS	315				hypothetical protein
MNHNOIJP_04159	CDS	300				hypothetical protein
MNHNOIJP_04160	CDS	1569	mltF_2	4.2.2.-		Membrane-bound lytic murein transglycosylase F
MNHNOIJP_04161	CDS	759				hypothetical protein
MNHNOIJP_04162	CDS	351				hypothetical protein
MNHNOIJP_04163	CDS	270				hypothetical protein
MNHNOIJP_04164	CDS	1038	adhA	1.1.1.1	COG1064	putative alcohol dehydrogenase AdhA
MNHNOIJP_04165	CDS	156				hypothetical protein
MNHNOIJP_04166	CDS	1152	recA_2		COG0468	Protein RecA
MNHNOIJP_04167	CDS	204				hypothetical protein
MNHNOIJP_04168	CDS	1164	rebG	4.3.3.5		4'-demethylrebeccamycin synthase
MNHNOIJP_04169	CDS	1356				hypothetical protein
MNHNOIJP_04170	CDS	528				hypothetical protein
MNHNOIJP_04171	CDS	693				hypothetical protein
MNHNOIJP_04172	CDS	876	yajO_2	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
MNHNOIJP_04173	CDS	771				hypothetical protein
MNHNOIJP_04174	CDS	1212				hypothetical protein
MNHNOIJP_04175	CDS	417			COG2166	putative SufE-like protein
MNHNOIJP_04176	CDS	906	sseA	2.8.1.1	COG2897	Putative thiosulfate sulfurtransferase SseA
MNHNOIJP_04177	CDS	1296	papA3_1	2.3.1.-	COG1020	Acyltransferase papA3
MNHNOIJP_04178	CDS	450				hypothetical protein
MNHNOIJP_04179	CDS	411			COG2764	putative protein
MNHNOIJP_04180	CDS	1002				hypothetical protein
MNHNOIJP_04181	CDS	567	speG	2.3.1.57	COG1670	Spermidine N(1)-acetyltransferase
MNHNOIJP_04182	CDS	207				hypothetical protein
MNHNOIJP_04183	CDS	576	rnhA	3.1.26.4		Ribonuclease H
MNHNOIJP_04184	CDS	474	yhfP	1.6.5.-	COG0604	Putative quinone oxidoreductase YhfP
MNHNOIJP_04185	CDS	564				hypothetical protein
MNHNOIJP_04186	CDS	864	baiCD	1.3.1.115	COG0446	3-oxocholoyl-CoA 4-desaturase
MNHNOIJP_04187	CDS	336	uppS_2	2.5.1.86	COG0020	Decaprenyl diphosphate synthase
MNHNOIJP_04188	CDS	423				hypothetical protein
MNHNOIJP_04189	CDS	432	zur		COG0735	Zinc uptake regulation protein
MNHNOIJP_04190	CDS	384	smtB_4		COG0640	HTH-type transcriptional repressor SmtB
MNHNOIJP_04191	CDS	996				hypothetical protein
MNHNOIJP_04192	CDS	420				hypothetical protein
MNHNOIJP_04193	CDS	2529	gdh_1	1.4.1.2	COG2902	NAD-specific glutamate dehydrogenase
MNHNOIJP_04194	CDS	339				hypothetical protein
MNHNOIJP_04195	CDS	888	fabG_11	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
MNHNOIJP_04196	CDS	348				hypothetical protein
MNHNOIJP_04197	CDS	651				hypothetical protein
MNHNOIJP_04198	CDS	627	nlhH	3.1.1.1	COG0657	Carboxylesterase NlhH
MNHNOIJP_04199	CDS	756				hypothetical protein
MNHNOIJP_04200	CDS	693				hypothetical protein
MNHNOIJP_04201	CDS	1005		6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
MNHNOIJP_04202	CDS	165				hypothetical protein
MNHNOIJP_04203	CDS	375				hypothetical protein
MNHNOIJP_04204	CDS	414				hypothetical protein
MNHNOIJP_04205	CDS	573	sutR_1		COG1396	HTH-type transcriptional regulator SutR
MNHNOIJP_04206	CDS	672				hypothetical protein
MNHNOIJP_04207	CDS	321				hypothetical protein
MNHNOIJP_04208	CDS	153				hypothetical protein
MNHNOIJP_04209	CDS	822	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
MNHNOIJP_04210	CDS	1254				hypothetical protein
MNHNOIJP_04211	CDS	321				hypothetical protein
MNHNOIJP_04212	CDS	1014	fepB_2		COG4592	Ferrienterobactin-binding periplasmic protein
MNHNOIJP_04213	CDS	1047	yfiZ_2		COG0609	putative siderophore transport system permease protein YfiZ
MNHNOIJP_04214	CDS	2886	dhbF_2		COG1020	Dimodular nonribosomal peptide synthase
MNHNOIJP_04215	CDS	249				hypothetical protein
MNHNOIJP_04216	CDS	645	azoR	1.7.1.17		FMN-dependent NADH-azoreductase
MNHNOIJP_04217	CDS	1584	mdtD_2			Putative multidrug resistance protein MdtD
MNHNOIJP_04218	CDS	384	iniC_1		COG0699	Isoniazid-induced protein IniC
MNHNOIJP_04219	CDS	588				hypothetical protein
MNHNOIJP_04220	tRNA	75				tRNA-Met(cat)
MNHNOIJP_04221	CDS	777				hypothetical protein
MNHNOIJP_04222	CDS	645	gntR_1			putative D-xylose utilization operon transcriptional repressor
MNHNOIJP_04223	CDS	246				hypothetical protein
MNHNOIJP_04224	CDS	402				hypothetical protein
MNHNOIJP_04225	CDS	1323	sasA_3	2.7.-.-		Adaptive-response sensory-kinase SasA
MNHNOIJP_04226	CDS	681	regX3_2		COG0745	Sensory transduction protein regX3
MNHNOIJP_04227	CDS	360				hypothetical protein
MNHNOIJP_04228	CDS	732				hypothetical protein
MNHNOIJP_04229	CDS	771				hypothetical protein
MNHNOIJP_04230	CDS	1464	cycA		COG1113	D-serine/D-alanine/glycine transporter
MNHNOIJP_04231	CDS	456	pcaG	1.13.11.3	COG3485	Protocatechuate 3,4-dioxygenase alpha chain
MNHNOIJP_04232	CDS	1329	pcaB	5.5.1.2	COG0015	3-carboxy-cis,cis-muconate cycloisomerase
MNHNOIJP_04233	CDS	495				hypothetical protein
MNHNOIJP_04234	CDS	339				hypothetical protein
MNHNOIJP_04235	CDS	645	arpA_2			A-factor receptor protein
MNHNOIJP_04236	CDS	888				hypothetical protein
MNHNOIJP_04237	CDS	660	malT_4			HTH-type transcriptional regulator MalT
MNHNOIJP_04238	CDS	1104		1.18.1.2		Ferredoxin--NADP reductase
MNHNOIJP_04239	CDS	1443	clsB	2.7.8.-		Cardiolipin synthase B
MNHNOIJP_04240	CDS	402	ripA	3.4.-.-	COG0791	Peptidoglycan endopeptidase RipA
MNHNOIJP_04241	CDS	495	greA_2		COG0782	Transcription elongation factor GreA
MNHNOIJP_04242	CDS	1590				hypothetical protein
MNHNOIJP_04243	CDS	384	tadA_3	3.5.4.33		tRNA-specific adenosine deaminase
MNHNOIJP_04244	CDS	1332				hypothetical protein
MNHNOIJP_04245	CDS	852	mscS		COG0668	Small-conductance mechanosensitive channel
MNHNOIJP_04246	CDS	540				hypothetical protein
MNHNOIJP_04247	CDS	210				hypothetical protein
MNHNOIJP_04248	CDS	972				hypothetical protein
MNHNOIJP_04249	CDS	1008				hypothetical protein
MNHNOIJP_04250	CDS	261	prfA_2		COG0216	Peptide chain release factor 1
MNHNOIJP_04251	CDS	933	prmC_4	2.1.1.297	COG2890	Release factor glutamine methyltransferase
MNHNOIJP_04252	CDS	663		2.7.7.87	COG0009	Putative threonylcarbamoyl-AMP synthase
MNHNOIJP_04253	CDS	1023				hypothetical protein
MNHNOIJP_04254	CDS	1467	papA3_2	2.3.1.-	COG1020	Acyltransferase papA3
MNHNOIJP_04255	CDS	1383	papA2	2.3.1.-	COG1020	Trehalose-2-sulfate acyltransferase papA2
MNHNOIJP_04256	CDS	2220	recC_2	3.1.11.5	COG1330	RecBCD enzyme subunit RecC
MNHNOIJP_04257	CDS	687				hypothetical protein
MNHNOIJP_04258	CDS	381		3.5.2.20	COG1878	Isatin hydrolase
MNHNOIJP_04259	CDS	1050	yliI	1.1.5.-	COG2133	Aldose sugar dehydrogenase YliI
MNHNOIJP_04260	CDS	1242				hypothetical protein
MNHNOIJP_04261	CDS	858	rhaR_6			HTH-type transcriptional activator RhaR
MNHNOIJP_04262	CDS	984	yhfQ_2		COG4594	Putative ABC transporter substrate-binding lipoprotein YhfQ
MNHNOIJP_04263	CDS	543				hypothetical protein
MNHNOIJP_04264	CDS	786				hypothetical protein
MNHNOIJP_04265	CDS	120				hypothetical protein
MNHNOIJP_04266	CDS	1197				hypothetical protein
MNHNOIJP_04267	CDS	918	murQ	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
MNHNOIJP_04268	CDS	780	nagB_4	3.5.99.6	COG0363	Glucosamine-6-phosphate deaminase
MNHNOIJP_04269	CDS	306				hypothetical protein
MNHNOIJP_04270	CDS	375				hypothetical protein
MNHNOIJP_04271	CDS	546	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
MNHNOIJP_04272	CDS	1038	rsgA_3	3.6.1.-		Small ribosomal subunit biogenesis GTPase RsgA
MNHNOIJP_04273	CDS	1242	desA3_1	1.14.19.-	COG3239	NADPH-dependent stearoyl-CoA 9-desaturase
MNHNOIJP_04274	CDS	1089	ipsA			HTH-type transcriptional regulator IpsA
MNHNOIJP_04275	CDS	951	mtsA		COG0803	Metal ABC transporter substrate-binding lipoprotein
MNHNOIJP_04276	CDS	423				hypothetical protein
MNHNOIJP_04277	CDS	201				hypothetical protein
MNHNOIJP_04278	CDS	102	sugB_1		COG0395	Trehalose transport system permease protein SugB
MNHNOIJP_04279	CDS	210				hypothetical protein
MNHNOIJP_04280	CDS	2190	ponA1		COG0744	Penicillin-binding protein 1A
MNHNOIJP_04281	CDS	249				hypothetical protein
MNHNOIJP_04282	CDS	567				hypothetical protein
MNHNOIJP_04283	CDS	759				Iron-sulfur cluster carrier protein
MNHNOIJP_04284	CDS	528				hypothetical protein
MNHNOIJP_04285	CDS	300				hypothetical protein
MNHNOIJP_04286	CDS	561				hypothetical protein
MNHNOIJP_04287	CDS	978				hypothetical protein
MNHNOIJP_04288	CDS	243	arlS_2	2.7.13.3		Signal transduction histidine-protein kinase ArlS
MNHNOIJP_04289	CDS	1209				putative MFS-type transporter
MNHNOIJP_04290	CDS	1209	mdtD_3			Putative multidrug resistance protein MdtD
MNHNOIJP_04291	CDS	1446				hypothetical protein
MNHNOIJP_04292	CDS	933				hypothetical protein
MNHNOIJP_04293	CDS	1329		2.3.1.20		Putative diacyglycerol O-acyltransferase
MNHNOIJP_04294	CDS	477				hypothetical protein
MNHNOIJP_04295	CDS	366				hypothetical protein
MNHNOIJP_04296	CDS	267				hypothetical protein
MNHNOIJP_04297	CDS	765	opuCB_3		COG1174	Carnitine transport permease protein OpuCB
MNHNOIJP_04298	CDS	651	opuBD		COG1174	Choline transport system permease protein OpuBD
MNHNOIJP_04299	CDS	1116	opuBA_2		COG1125	Choline transport ATP-binding protein OpuBA
MNHNOIJP_04300	CDS	192				hypothetical protein
MNHNOIJP_04301	CDS	486	nhaA			Na(+)/H(+) antiporter NhaA
MNHNOIJP_04302	CDS	510				hypothetical protein
MNHNOIJP_04303	CDS	936	ephA_1	3.3.2.10		Epoxide hydrolase A
MNHNOIJP_04304	CDS	855		3.4.21.-	COG0265	Serine protease
MNHNOIJP_04305	CDS	243				hypothetical protein
MNHNOIJP_04306	CDS	1557				hypothetical protein
MNHNOIJP_04307	CDS	231				hypothetical protein
MNHNOIJP_04308	CDS	180				hypothetical protein
MNHNOIJP_04309	CDS	237				hypothetical protein
MNHNOIJP_04310	CDS	867	ppx1	3.6.1.11	COG0248	Exopolyphosphatase 1
MNHNOIJP_04311	CDS	1134				hypothetical protein
MNHNOIJP_04312	CDS	468				hypothetical protein
MNHNOIJP_04313	CDS	867		1.1.1.-	COG1028	Putative short-chain type dehydrogenase/reductase
MNHNOIJP_04314	CDS	1455				hypothetical protein
MNHNOIJP_04315	CDS	528				hypothetical protein
MNHNOIJP_04316	CDS	573	yxaF_3			putative HTH-type transcriptional regulator YxaF
MNHNOIJP_04317	CDS	834				hypothetical protein
MNHNOIJP_04318	CDS	156	ileS_2	6.1.1.5	COG0060	Isoleucine--tRNA ligase
MNHNOIJP_04319	CDS	339				hypothetical protein
MNHNOIJP_04320	CDS	1365	dinB1	2.7.7.7	COG0389	DNA polymerase IV 1
MNHNOIJP_04321	CDS	528				hypothetical protein
MNHNOIJP_04322	CDS	186				hypothetical protein
MNHNOIJP_04323	CDS	471				hypothetical protein
MNHNOIJP_04324	CDS	1539	lcfB_11	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
MNHNOIJP_04325	CDS	456				hypothetical protein
MNHNOIJP_04326	CDS	630	bluB	1.13.11.79	COG0778	5,6-dimethylbenzimidazole synthase
MNHNOIJP_04327	CDS	810				hypothetical protein
MNHNOIJP_04328	CDS	768				hypothetical protein
MNHNOIJP_04329	CDS	531	thrB	2.7.1.39	COG0083	Homoserine kinase
MNHNOIJP_04330	CDS	264				hypothetical protein
MNHNOIJP_04331	CDS	609				hypothetical protein
MNHNOIJP_04332	CDS	390				hypothetical protein
MNHNOIJP_04333	CDS	993				hypothetical protein
MNHNOIJP_04334	CDS	1191	lpdC	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
MNHNOIJP_04335	CDS	129				hypothetical protein
MNHNOIJP_04336	CDS	240				hypothetical protein
MNHNOIJP_04337	CDS	951				hypothetical protein
MNHNOIJP_04338	CDS	387	argH	4.3.2.1	COG0165	Argininosuccinate lyase
MNHNOIJP_04339	CDS	1914				hypothetical protein
MNHNOIJP_04340	CDS	945	murJ_3			lipid II flippase MurJ
MNHNOIJP_04341	CDS	867		1.3.99.-		Acyl-CoA dehydrogenase FadE27
MNHNOIJP_04342	CDS	984		1.3.1.103		2-haloacrylate reductase
MNHNOIJP_04343	CDS	795				hypothetical protein
MNHNOIJP_04344	CDS	1812				hypothetical protein
MNHNOIJP_04345	CDS	723	metG_2	6.1.1.10		Methionine--tRNA ligase
MNHNOIJP_04346	CDS	1179				hypothetical protein
MNHNOIJP_04347	CDS	798	rsmI_2	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
MNHNOIJP_04348	CDS	372	ansA	3.5.1.1	COG0252	putative L-asparaginase
MNHNOIJP_04349	CDS	1182				hypothetical protein
MNHNOIJP_04350	CDS	207				hypothetical protein
MNHNOIJP_04351	CDS	1692	devS	2.7.13.3	COG2203	Oxygen sensor histidine kinase response regulator DevS/DosS
MNHNOIJP_04352	CDS	732	devR_1		COG2197	DNA-binding transcriptional activator DevR/DosR
MNHNOIJP_04353	CDS	309	acg	1.-.-.-		Putative NAD(P)H nitroreductase acg
MNHNOIJP_04354	CDS	1122	sasA_4	2.7.-.-		Adaptive-response sensory-kinase SasA
MNHNOIJP_04355	CDS	291				hypothetical protein
MNHNOIJP_04356	CDS	1209	oleD	2.4.1.-		Oleandomycin glycosyltransferase
MNHNOIJP_04357	CDS	1032	COQ3_3	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
MNHNOIJP_04358	CDS	837				hypothetical protein
MNHNOIJP_04359	CDS	1023	fbpB	2.3.1.122	COG0627	Diacylglycerol acyltransferase/mycolyltransferase Ag85B
MNHNOIJP_04360	CDS	1110	dhbF_3		COG1020	Dimodular nonribosomal peptide synthase
MNHNOIJP_04361	CDS	585				hypothetical protein
MNHNOIJP_04362	CDS	846	uppP_2	3.6.1.27	COG1968	Undecaprenyl-diphosphatase
